species_name,t_number,code,genome_link
Escherichia_coli_K-12_MG1655,T00007,eco,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2
Escherichia_coli_K-12_W3110,T00068,ecj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/245/GCA_000010245.1_ASM1024v1
Escherichia_coli_K-12_DH10B,T00666,ecd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/425/GCA_000019425.1_ASM1942v1
Escherichia_coli_K-12_BW2952,T00913,ebw,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/345/GCA_000022345.1_ASM2234v1
Escherichia_coli_K-12_MDS42,T02541,ecok,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/185/GCA_000350185.1_ASM35018v1
Escherichia_coli_O157:H7_EDL933_(EHEC),T00044,ece,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/665/GCA_000006665.1_ASM666v1
Escherichia_coli_O157:H7_Sakai_(EHEC),T00048,ecs,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2
Escherichia_coli_O157:H7_EC4115_(EHEC),T00778,ecf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/125/GCA_000021125.1_ASM2112v1
Escherichia_coli_O157:H7_TW14359_(EHEC),T00949,etw,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/225/GCA_000022225.1_ASM2222v1
Escherichia_coli_O157:H7_Xuzhou21_(EHEC),T02122,elx,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/125/GCA_000262125.1_ASM26212v1
Escherichia_coli_O111:H-_11128_(EHEC),T01097,eoi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/765/GCA_000010765.1_ASM1076v1
